Original_x,Optimal_x,Cost,Objective,Runtime,Slack_income,slack_credit,Slack_ca,Slack_la
"[4.0, 0.0, 1.0, 300000.0, 500000.0, 2.0, 353.0, 600000.0, 100000.0, 1200000.0, 400000.0]","[4.00000000e+00 0.00000000e+00 1.00000000e+00 4.00005000e+04
 5.00000000e+05 5.00000000e+00 9.00000000e+02 2.80000000e+06
 2.11090623e+07 0.00000000e+00 8.00000000e+05]",21109962.760910699697074,21109962.760910699697074,0.0668568611145019,0.5,150,21108812.260910699697074,1000
"[0.0, 0.0, 1.0, 9400000.0, 19200000.0, 20.0, 708.0, 21200000.0, 16300000.0, 23400000.0, 13200000.0]","[0.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.92000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0437934398651123,0.5,0.5,0.5,0.5
"[2.0, 0.0, 0.0, 9100000.0, 21700000.0, 12.0, 549.0, 25500000.0, 11000000.0, 34700000.0, 12200000.0]","[2.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 2.17000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0365550518035888,0.5,0.5,0.5,0.5
"[1.0, 0.0, 0.0, 9500000.0, 23000000.0, 10.0, 627.0, 28500000.0, 11500000.0, 21700000.0, 9100000.0]","[1.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 2.30000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0709345340728759,0.5,0.5,0.5,0.5
"[2.0, 1.0, 1.0, 7400000.0, 14900000.0, 20.0, 627.0, 15900000.0, 10100000.0, 19000000.0, 10300000.0]","[2.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.49000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0442497730255126,0.5,0.5,0.5,0.5
"[0.0, 0.0, 1.0, 9800000.0, 23200000.0, 10.0, 573.0, 23900000.0, 3300000.0, 23600000.0, 14600000.0]","[0.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 2.32000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0512447357177734,0.5,0.5,0.5,0.5
"[1.0, 1.0, 0.0, 9800000.0, 21300000.0, 2.0, 356.0, 23000000.0, 12300000.0, 25700000.0, 14600000.0]","[1.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 2.13000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0546698570251464,0.5,0.5,0.5,0.5
"[1.0, 0.0, 1.0, 6400000.0, 13900000.0, 12.0, 313.0, 18600000.0, 6300000.0, 18600000.0, 4900000.0]","[1.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.39000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0424244403839111,0.5,0.5,0.5,0.5
"[3.0, 0.0, 0.0, 300000.0, 700000.0, 20.0, 735.0, 900000.0, 200000.0, 900000.0, 400000.0]","[3.00000000e+00 0.00000000e+00 0.00000000e+00 4.00005000e+04
 7.00000000e+05 5.00000000e+00 9.00000000e+02 2.80000000e+06
 2.00095953e+07 0.00000000e+00 8.00000000e+05]",20010495.764091244958277,20010495.764091244958277,0.0402054786682128,0.5,150,20009345.264091244958277,1000
"[3.0, 1.0, 0.0, 6200000.0, 13200000.0, 14.0, 707.0, 17200000.0, 8900000.0, 23100000.0, 4200000.0]","[3.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 1.32000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0497846603393554,0.5,0.5,0.5,0.5
