Original_x,Optimal_x,Cost,Objective,Runtime,Slack_weights
"[38.0, 1.0, 1.9, 90.0, 27.3]",[38.          1.          1.9        45.00408888 17.5       ],4.995911116716871,4.995911116716871,0.0275616645812988,4.995911116716871
"[37.0, 1.0, 1.9, 85.0, 26.1]",[37.          1.          1.9        44.95226112 17.5       ],5.047738884371084,5.047738884371084,0.0222408771514892,5.047738884371084
"[36.0, 1.0, 1.9, 75.0, 24.2]",[36.          1.          1.9        44.90043335 17.5       ],5.099566652025296,5.099566652025296,0.0202741622924804,5.099566652025296
"[35.0, 1.0, 1.9, 65.0, 22.7]",[35.          1.          1.9        44.84860558 17.5       ],5.151394419679509,5.151394419679509,0.0242969989776611,5.151394419679509
